Hora,Transações,Média_DEV,Média_SBY,Moonbeam_to_Astar,Astar_to_Moonbeam,Total_DEV,Total_SBY
2025-06-07 13:00,1,0.00000418,0.13114638,1,0,0.00000418,0.13114638
2025-06-07 14:00,3,0.00000418,0.13114638,3,0,0.00001254,0.39343914
2025-06-07 15:00,8,0.00002489,0.13087478,6,2,0.00019908,1.04699828
2025-06-07 16:00,1,0.00008700,0.13006000,0,1,0.00008700,0.13006000
2025-06-07 17:00,1,0.00000418,0.13114638,1,0,0.00000418,0.13114638
2025-06-07 18:00,1,0.00000418,0.13114638,1,0,0.00000418,0.13114638
2025-06-07 21:00,1,0.00000418,0.13114638,1,0,0.00000418,0.13114638
2025-06-10 09:00,3,0.00000418,0.13114638,3,0,0.00001254,0.39343914
2025-06-14 16:00,1,0.00000418,0.13114638,1,0,0.00000418,0.13114638
